Sport,Item Name,Price (INR),Description,Image File
Football,Match Football (Size 5),650,"32-panel PU, hand-stitched, all-weather.",
Football,Goalkeeper Gloves,450,"Latex palm, breathable mesh back, sizes 7-10.",
Basketball,Basketball (Size 7),550,"Composite cover, indoor/outdoor, deep channels.",
Basketball,Basketball Net (Pair),250,"Heavy-duty nylon, all-weather, standard 12-loop.",
Cricket,Kashmir Willow Bat,1200,"Short handle, full size, pre-knocked blade.",
Cricket,Leather Cricket Ball,350,"4-piece construction, match grade, red.",
Hockey,Field Hockey Stick,900,"Fibreglass-reinforced, 36.5"", mid-bow.",
Hockey,Hockey Ball,200,"Dimpled PVC, match weight, white.",
Volleyball,Volleyball (Size 4),500,"Soft-touch PU, 18 panel, indoor/outdoor.",
Volleyball,Volleyball Net,600,"9.5m x 1m, steel cable top, weather-proof.",
